what,kind,bundleId,bundleVersion,description,time
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1329651568480
java.specification.version,sysinfo,,,"1.6",1329651568480
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1329651568480
java.version,sysinfo,,,"1.6.0_30",1329651568480
java.vm.info,sysinfo,,,"mixed mode",1329651568481
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1329651568481
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1329651568481
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1329651568481
java.vm.specification.version,sysinfo,,,"1.0",1329651568481
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1329651568481
java.vm.version,sysinfo,,,"20.5-b03",1329651568481
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1329651568516
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1329651568956
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1329651568968
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1329651569089
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1329651569166
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1329651569329
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329651571556
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1329651572122
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1329651573138
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1329651573147
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1329651573617
stopped,bundle,org.eclipse.m2e.discovery,1.0.100.20110804-1717,"org.eclipse.m2e.discovery",1329651573847
stopped,bundle,org.eclipse.m2e.refactoring,1.0.100.20110804-1717,"org.eclipse.m2e.refactoring",1329651574035
stopped,bundle,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor",1329651574233
